n,k,num_training_reliable,num_validation_reliable,percentage_reliable
7762,1,0,0,0
1000,2,0,0,0
130,3,15,4,26.666666666666668
50,4,265,90,33.9622641509434
32,5,1706,534,31.30128956623681
24,6,836,532,63.63636363636363
21,7,1410,1049,74.39716312056738
19,8,1686,1433,84.99406880189798
18,9,1498,1381,92.18958611481976
18,10,1773,1696,95.65707839819515
19,11,3607,3515,97.44940393678958
19,12,2990,2935,98.16053511705685
19,13,1879,1860,98.9888238424694
20,14,2779,2750,98.95645915797049
20,15,1272,1261,99.13522012578616
21,16,1343,1335,99.40431868950111
22,17,1672,1663,99.46172248803828
23,18,3470,3401,98.01152737752162
23,19,1156,1144,98.96193771626297
24,20,549,539,98.1785063752277
