n,k,Estimated time
86,1,0.0005974941783481174
86,2,0.022854236086209612
86,3,0.6518121365971035
59,4,2.9192129150403865
37,5,2.8854977554500105
28,6,2.5242263025045393
24,7,2.3660491471767426
22,8,2.2327021219730376
21,9,2.1131742093761763
20,10,2.53742169921928
20,11,2.48290689863099
20,12,1.836813471496105
20,13,1.1873398238817852
21,14,1.8383128983974455
22,15,2.8304039173762003
22,16,1.3121226312994958
23,17,2.831269270712137
23,18,0.824631832810243
24,19,1.1194789839585624
25,20,1.5562555293440818
